species,sex,sample_number,dist_e1,dist_e2,dist_e3,dist_e4,dist_e5,dist_e6,dist_e7,dist_e8,dist_e9,dist_e10,groove_distance,id
T_barberi,female,1,2.561,2.34,2.774,2.765,2.986,2.978,2.765,2.986,3.43,2.986,2.8571,1
T_barberi,female,3,1.458,1.667,1.875,1.667,1.667,1.887,2.083,1.68,2.094,2.083,1.8161,2
T_barberi,female,4,1.957,1.957,2.391,2.391,2.185,2.391,2.174,2.834,2.174,2.826,2.328,3
T_barberi,female,5,3.206,3.2,3.6,3.6,3.2,3.406,3.6,3.8,3.8,3.4,3.4812,4
T_barberi,female,6,2.745,3.137,3.137,2.967,2.947,3.529,3.529,3.534,3.725,3.534,3.2784,5
T_barberi,female,10,3.702,3.913,3.919,3.485,3.913,4.13,3.702,3.919,3.702,4.13,3.8515,6
T_barberi,male,1,3.749,3.541,3.755,3.963,3.749,3.755,3.547,3.963,3.749,4.171,3.7942,7
T_barberi,male,6,3.125,3.333,3.132,3.153,3.548,3.548,3.333,3.773,3.756,3.542,3.4243,8
T_barberi,male,7,3.067,3.067,3.265,3.265,3.061,3.061,3.265,3.469,3.271,3.673,3.2464,9
T_barberi,male,8,2.457,2.448,2.244,2.653,2.448,2.653,2.448,2.653,2.448,2.448,2.49,10
T_barberi,male,9,2.245,1.837,2.449,2.245,2.653,2.245,2.857,2.661,2.254,2.457,2.3903,11
T_barberi,male,10,3.702,4.353,4.348,4.565,4.13,3.919,4.57,4.788,4.13,4.586,4.3091,12
T_dimidiata,female,4,7.958,7.756,7.753,7.345,8.774,7.968,7.549,7.549,7.345,7.141,7.7138,13
T_dimidiata,female,6,5.625,6.045,6.458,6.253,5.833,5.625,5.417,6.25,5.417,5.833,5.8756,14
T_dimidiata,female,3,5.999,5.799,5.802,5.599,6.002,5.802,5.802,6.002,5.999,5.999,5.8805,15
T_dimidiata,female,2,7.021,6.397,6.809,6.809,6.596,6.397,6.174,6.383,5.536,6.609,6.4731,16
